a;w;x1_0;x2_0;x1;x2;f1;f2;f_calls
10;0;2.48566;4.15502;-2;-2;320;1.30975e-13;162
10;0.01;0.181728;-4.57536;0.0100483;0.0100499;79.1981;0.808059;136
10;0.02;-6.32242;-3.36;0.684566;0.684565;34.6074;1.44138;160
10;0.03;1.90906;-0.769288;1.02267;1.02267;19.1035;1.8273;142
10;0.04;-8.4836;8.72404;1.22581;1.22581;11.9875;2.08117;167
10;0.05;7.87113;-9.26579;1.36134;1.36134;8.15764;2.25973;167
10;0.06;-6.31777;5.88849;1.45822;1.45821;5.87063;2.39185;161
10;0.07;6.32144;6.10006;1.5309;1.53089;4.40118;2.49344;159
10;0.08;1.08026;2.21014;1.58745;1.58744;3.40404;2.57395;132
10;0.09;7.02131;-2.46317;1.63269;1.63269;2.69828;2.63929;158
10;0.1;-6.91129;1.03325;1.66973;1.66973;2.18161;2.69338;150
10;0.11;9.9719;6.24638;1.70059;1.70059;1.79295;2.73887;165
10;0.12;8.09473;-5.33192;1.72671;1.72671;1.49378;2.77767;164
10;0.13;2.2041;5.79157;1.7491;1.7491;1.25903;2.81115;143
10;0.14;0.347567;-9.58278;1.76851;1.76851;1.07179;2.84033;156
10;0.15;-9.6467;-1.67686;1.78549;1.78549;0.920304;2.86598;160
10;0.16;-3.86277;4.11316;1.80047;1.80048;0.796206;2.88872;155
10;0.17;7.92421;-2.09396;1.8138;1.8138;0.69342;2.90901;161
10;0.18;2.1081;9.84211;1.82572;1.82572;0.607477;2.92723;143
10;0.19;-9.82355;-3.63557;1.83645;1.83645;0.534987;2.94367;163
10;0.2;-6.87352;-5.84976;1.84615;1.84615;0.473377;2.95858;166
10;0.21;0.962548;3.02176;1.85498;1.85498;0.420613;2.97217;141
10;0.22;-2.81607;-7.47471;1.86304;1.86304;0.375174;2.98461;163
10;0.23;-5.23009;-2.45112;1.87042;1.87042;0.335803;2.99604;160
10;0.24;-9.31568;6.05373;1.87722;1.87722;0.301489;3.00657;164
10;0.25;-6.75131;9.72216;1.8835;1.88349;0.271466;3.01631;167
10;0.26;9.36891;1.40036;1.88931;1.8893;0.245069;3.02534;148
10;0.27;-8.0213;-1.40783;1.8947;1.8947;0.221768;3.03374;160
10;0.28;-8.5651;2.97712;1.89972;1.89972;0.201121;3.04156;154
10;0.29;-7.15079;-8.33902;1.90441;1.90441;0.182752;3.04888;169
10;0.3;1.98683;-0.632461;1.90879;1.9088;0.166368;3.05574;129
10;0.31;7.5558;-6.52636;1.91291;1.91291;0.151707;3.06217;167
10;0.32;-6.45827;1.46604;1.91677;1.91677;0.138547;3.06822;147
10;0.33;1.25403;4.61933;1.9204;1.9204;0.126715;3.07391;142
10;0.34;7.26145;3.10263;1.92383;1.92383;0.116035;3.07929;152
10;0.35;-1.46183;7.26177;1.92707;1.92707;0.106383;3.08437;155
10;0.36;-2.59785;-4.50876;1.93013;1.93013;0.0976331;3.08919;160
10;0.37;-9.81658;6.93596;1.93303;1.93303;0.0896929;3.09375;164
10;0.38;-9.51239;-7.4147;1.93579;1.93579;0.0824705;3.09808;169
10;0.39;9.34552;-4.74074;1.9384;1.9384;0.0758908;3.1022;164
10;0.4;-6.0434;1.82586;1.94089;1.94089;0.0698872;3.10612;137
10;0.41;-6.35976;0.889999;1.94326;1.94326;0.0643986;3.10985;153
10;0.42;-9.71265;-1.33232;1.94551;1.94551;0.0593743;3.11342;160
10;0.43;-7.10116;1.36171;1.94767;1.94767;0.054767;3.11682;150
10;0.44;2.41717;-0.640194;1.94973;1.94973;0.0505426;3.12007;139
10;0.45;8.70016;6.61891;1.9517;1.9517;0.0466555;3.12319;162
10;0.46;1.4126;-7.87846;1.95359;1.95359;0.0430821;3.12617;150
10;0.47;5.96594;-0.899465;1.9554;1.9554;0.0397911;3.12903;155
10;0.48;-1.21375;3.53593;1.95713;1.95713;0.0367557;3.13178;148
10;0.49;-5.03018;-8.32057;1.9588;1.9588;0.0339546;3.13441;166
10;0.5;-4.4308;2.97137;1.96039;1.96039;0.0313713;3.13695;151
10;0.51;4.66402;-7.3716;1.96194;1.96194;0.0289784;3.13939;161
10;0.52;6.50296;7.59987;1.96341;1.96342;0.0267707;3.14173;162
10;0.53;-4.97905;3.19935;1.96484;1.96484;0.0247238;3.14399;154
10;0.54;-9.78195;4.35516;1.96621;1.96621;0.0228311;3.14617;158
10;0.55;-2.11268;3.96882;1.96754;1.96754;0.0210771;3.14827;152
10;0.56;-4.8686;6.64054;1.96882;1.96882;0.0194465;3.1503;161
10;0.57;5.06299;7.42234;1.97005;1.97005;0.0179392;3.15226;156
10;0.58;0.928361;-7.89152;1.97124;1.97124;0.0165398;3.15415;153
10;0.59;-9.18186;-1.84996;1.97239;1.9724;0.0152413;3.15598;163
10;0.6;-2.76523;1.31349;1.97351;1.97351;0.0140339;3.15776;144
10;0.61;1.23482;6.43593;1.97459;1.97459;0.0129156;3.15947;148
10;0.62;6.06618;0.00350244;1.97563;1.97563;0.0118752;3.16113;152
10;0.63;1.04944;3.47679;1.97664;1.97665;0.0109088;3.16274;141
10;0.64;5.77903;1.64049;1.97763;1.97762;0.0100116;3.1643;142
10;0.65;-6.32978;7.09966;1.97858;1.97858;0.00917954;3.16581;164
10;0.66;3.92118;2.6436;1.9795;1.9795;0.00840597;3.16728;140
10;0.67;-1.20159;6.6433;1.98039;1.9804;0.00768786;3.16871;155
10;0.68;3.02481;-2.67353;1.98126;1.98126;0.00702143;3.17009;148
10;0.69;8.90587;9.6041;1.98211;1.98211;0.00640208;3.17144;165
10;0.7;9.76804;7.71271;1.98293;1.98293;0.0058282;3.17275;165
10;0.71;1.30794;-3.60416;1.98373;1.98373;0.00529536;3.17402;147
10;0.72;-8.94182;9.26633;1.9845;1.98451;0.00480191;3.17526;167
10;0.73;8.4917;-0.755816;1.98526;1.98526;0.00434457;3.17646;158
10;0.74;-3.59655;-2.7996;1.986;1.986;0.00392224;3.17763;160
10;0.75;-2.3288;1.98088;1.98671;1.98671;0.0035322;3.17877;120
10;0.76;4.31868;2.33815;1.98741;1.98741;0.00317099;3.17989;137
10;0.77;2.77567;8.63162;1.98809;1.98809;0.00283804;3.18097;152
10;0.78;-1.88497;-9.97068;1.98875;1.98875;0.00253086;3.18203;163
10;0.79;-0.803802;3.10615;1.9894;1.98939;0.00224911;3.18306;148
10;0.8;-9.95613;-2.79061;1.99003;1.99002;0.0019897;3.18406;163
10;0.81;-2.43814;2.27007;1.99064;1.99064;0.00175268;3.18504;139
10;0.82;2.40002;-1.92828;1.99124;1.99124;0.00153558;3.186;142
10;0.83;-3.81675;0.574914;1.99182;1.99182;0.00133737;3.18693;153
10;0.84;-9.78487;-0.391183;1.99239;1.9924;0.00115679;3.18784;157
10;0.85;-5.47868;6.0426;1.99295;1.99295;0.000993231;3.18873;161
10;0.86;-1.68632;1.46763;1.9935;1.9935;0.000845002;3.18961;144
10;0.87;-8.30713;7.46628;1.99403;1.99403;0.000712343;3.19046;164
10;0.88;3.08107;-3.05025;1.99455;1.99455;0.000593508;3.19129;151
10;0.89;-5.5692;-1.80422;1.99506;1.99506;0.000487455;3.19211;160
10;0.9;-3.43105;4.82247;1.99556;1.99556;0.000394504;3.1929;155
10;0.91;-9.46166;-9.90594;1.99605;1.99605;0.000312442;3.19368;169
10;0.92;5.03938;-9.19756;1.99653;1.99652;0.000241452;3.19444;161
10;0.93;-0.87607;-4.62409;1.99699;1.99699;0.000181022;3.19519;157
10;0.94;0.0891941;3.54017;1.99745;1.99745;0.000130199;3.19592;145
10;0.95;0.777222;-9.79003;1.9979;1.9979;8.85142e-05;3.19663;156
10;0.96;-9.43763;1.70639;1.99834;1.99833;5.54567e-05;3.19734;144
10;0.97;3.22335;2.72852;1.99876;1.99876;3.05216e-05;3.19802;142
10;0.98;-1.40951;-7.9641;1.99918;1.99918;1.33195e-05;3.19869;160
10;0.99;0.289458;1.93753;1.9996;1.9996;3.27175e-06;3.19935;122
10;1;9.50316;-1.81458;2;2;2.10479e-11;3.2;161
