w;l_0;d_0;l_opt;d_opt;mass;deflection;function_calls
0;0.399603;0.0223067;1.1298e+74;2.0878e+74;3.01692e+226;0;760
0.01;0.300309;0.0338598;0.27798;0.0211332;0.760552;0.00353278;64
0.02;0.440169;0.0335756;0.408145;0.0240196;1.44254;0.00670072;67
0.03;0.742761;0.0127039;0.77517;0.0297459;4.20179;0.0195175;69
0.04;0.38348;0.0489612;0.229603;0.0198283;0.553011;0.00256879;77
0.05;0.469985;0.0180396;0.494965;0.0256144;1.98943;0.00924107;69
0.06;0.868392;0.0338386;0.666909;0.028291;3.27;0.0151895;86
0.07;0.628866;0.0115222;0.686545;0.028566;3.43204;0.0159422;73
0.08;0.433703;0.0293372;0.42866;0.0244154;1.56541;0.00727143;60
0.09;0.568114;0.0164901;0.60176;0.0273381;2.75514;0.0127978;73
0.1;0.205786;0.0452252;0.205025;0.0190941;0.457921;0.00212697;64
0.11;0.299532;0.049719;0.280118;0.0211876;0.770349;0.003578;104
0.12;0.861792;0.0319607;0.861792;0.0319607;5.39285;0.0201225;8
0.13;0.886755;0.0474234;0.871851;0.0309346;5.11111;0.0237404;61
0.14;0.307062;0.0344025;0.278219;0.0211393;0.761644;0.00353786;64
0.15;0.834293;0.0428057;0.823933;0.0303573;4.65159;0.0216055;100
0.16;0.987812;0.0174995;1.00694;0.0324561;6.49802;0.0301834;66
0.17;0.525764;0.0108921;0.526258;0.0261433;2.20346;0.0102351;63
0.18;0.679219;0.010146;0.690943;0.0286271;3.46883;0.0161121;63
0.19;0.289271;0.0319453;0.266026;0.0208259;0.70683;0.00328323;64
0.2;0.940238;0.0266737;0.940297;0.0317236;5.79714;0.0269281;59
0.21;0.291466;0.010028;0.32154;0.0221841;0.969401;0.00450276;110
0.22;0.537209;0.0477983;-18.1304;2.04586e-10;-4.64884e-15;-1.11597e+35;151
0.23;0.689193;0.011237;0.744305;0.0293457;3.92667;0.0182395;70
0.24;0.782818;0.0490855;0.681444;0.0284951;3.38966;0.0157451;71
0.25;0.48455;0.010606;0.497284;0.0256545;2.005;0.00931324;63
0.26;0.796387;0.0149607;0.803749;0.0301071;4.46315;0.0207313;66
0.27;0.547476;0.0470512;0.469068;0.0251599;1.81903;0.00844902;114
0.28;0.510111;0.0254418;0.510896;0.0258864;2.0973;0.00974208;59
0.29;0.790297;0.0180044;0.792938;0.0299714;4.36352;0.0202688;63
0.3;0.964978;0.048497;0.930406;0.0316119;5.69586;0.0264577;67
0.31;0.873959;0.0476102;0.85659;0.0307529;4.96283;0.0230522;61
0.32;0.915339;0.0452315;0.911887;0.031401;5.50823;0.0255852;61
0.33;0.27336;0.0417723;0.261515;0.0207074;0.68696;0.00319099;67
0.34;0.775068;0.048917;0.75228;0.0294502;3.99705;0.0185663;64
0.35;0.442377;0.0363535;0.438962;0.0246095;1.62862;0.00756493;64
0.36;0.711308;0.0310243;0.707248;0.0288504;3.60627;0.0167513;60
0.37;0.853356;0.0419255;0.848643;0.0306574;4.88629;0.0226973;60
0.38;0.753339;0.0427533;0.734371;0.0292146;3.83973;0.0178354;64
0.39;0.918338;0.0326129;0.918338;0.0326129;5.98366;0.0224588;8
0.4;0.394575;0.0485515;0.394096;0.0237408;1.36074;0.00632072;71
0.41;0.909365;0.0417289;0.892341;0.0311748;5.3128;0.0246782;61
0.42;0.280097;0.0190526;0.281228;0.0212152;0.775421;0.00360182;59
0.43;0.441507;0.0425837;0.424947;0.024345;1.5429;0.00716651;61
0.44;0.831449;0.0329688;0.818475;0.03029;4.60031;0.0213678;101
0.45;0.612321;0.0261566;0.61322;0.0275108;2.84321;0.013206;59
0.46;0.483343;0.0235122;0.485419;0.0254488;1.92591;0.00894581;59
0.47;0.387308;0.0162604;0.388065;0.0236192;1.32623;0.00616015;99
0.48;0.271479;0.0207221;0.271742;0.0209741;0.732331;0.00340157;59
0.49;0.612222;0.0229823;0.615407;0.0275433;2.86009;0.013285;59
0.5;0.759136;0.0345258;0.756367;0.0295035;4.03332;0.0187346;60
0.51;0.895652;0.0440732;0.870144;0.0309142;5.09439;0.0236635;67
0.52;0.844746;0.0447072;0.843614;0.0305971;4.83824;0.0224724;107
0.53;0.653951;0.0232827;0.665148;0.0282662;3.25564;0.0151226;60
0.54;0.325706;0.0303438;0.325706;0.0303438;1.83718;0.001337;8
0.55;0.380005;0.0149981;0.384022;0.0235368;1.30327;0.00605369;63
0.56;0.350737;0.0221766;0.35088;0.0228392;1.12126;0.00520821;59
0.57;0.680853;0.0107669;0.700162;0.0287538;3.54628;0.0164723;63
0.58;0.299283;0.0103749;0.657179;0.0281527;3.19087;0.014822;85
0.59;0.642296;0.0193005;0.809119;0.0301738;4.51292;0.020963;79
0.6;0.221598;0.0360494;0.215303;0.019408;0.496816;0.00230764;61
0.61;0.23686;0.0488934;0.235477;0.0199962;0.576807;0.00267911;67
0.62;0.812945;0.034314;0.812945;0.034314;5.86392;0.0127126;8
0.63;0.969307;0.0271199;0.969942;0.0320536;6.10497;0.0283577;59
0.64;0.270267;0.0133288;0.275818;0.0210784;0.750724;0.00348706;60
0.65;0.812771;0.0397127;0.765796;0.0296257;4.11752;0.019125;110
0.66;0.329637;0.0407935;0.308696;0.0218847;0.905724;0.004207;64
0.67;0.313732;0.0270455;0.242301;0.0201873;0.604918;0.0028099;71
0.68;0.964533;0.0412272;0.95011;0.0318337;5.89837;0.0273976;61
0.69;0.324138;0.0130015;0.340878;0.0226201;1.06849;0.00496317;63
0.7;0.669535;0.0238486;0.670095;0.0283361;3.29611;0.0153103;59
0.71;0.668892;0.0377019;0.662301;0.0282259;3.23247;0.0150147;60
0.72;0.949186;0.0324164;0.949186;0.0324164;6.11035;0.0254058;8
0.73;0.678725;0.0153682;0.688867;0.0285983;3.45144;0.0160319;66
0.74;0.86888;0.0215878;0.870252;0.0309155;5.09546;0.0236682;60
0.75;0.289011;0.0155051;0.312968;0.021985;0.926699;0.00430459;69
0.76;0.279443;0.0275455;0.267479;0.0208637;0.713273;0.00331318;64
0.77;0.687747;0.0232329;0.699564;0.0287454;3.5412;0.0164492;66
0.78;0.467323;0.0264254;0.467323;0.0264254;1.99915;0.00686596;8
0.79;0.604333;0.0392885;0.591931;0.0271885;2.68057;0.0124512;60
0.8;0.553507;0.0495402;0.542639;0.0264118;2.31895;0.0107716;64
0.81;0.917091;0.0349769;0.917091;0.0349769;6.87322;0.0169063;8
0.82;0.657249;0.0314761;0.657249;0.0314761;3.9891;0.00948865;8
0.83;0.728689;0.0457543;-0.345706;1.11469e-08;-2.6315e-13;-8.77884e+22;89
0.84;0.900338;0.0119969;0.912207;0.0314045;5.5114;0.0256006;70
0.85;0.93165;0.0362264;0.92607;0.0315628;5.65169;0.0262524;61
0.86;0.540981;0.0363035;0.533567;0.0262639;2.25471;0.010473;60
0.87;0.658819;0.0211999;0.672592;0.0283711;3.31658;0.0154059;66
0.88;0.292757;0.0216439;0.292757;0.0216439;0.840158;0.00375075;8
0.89;0.566074;0.0380623;0.561605;0.0267162;2.45563;0.011406;61
0.9;0.27813;0.0399917;0.273307;0.0210144;0.73938;0.00343421;61
0.91;0.605459;0.0264059;0.60698;0.0274169;2.7951;0.0129834;59
0.92;0.605338;0.0269443;0.605768;0.0273986;2.78579;0.0129403;59
0.93;0.738158;0.0202083;0.761268;0.0295669;4.07695;0.0189376;70
0.94;0.474792;0.0334729;0.460519;0.025006;1.76409;0.00819415;64
0.95;0.893044;0.015535;0.918085;0.0314718;5.57072;0.0258762;70
0.96;0.452407;0.0150546;0.456719;0.0249369;1.73988;0.00808187;66
0.97;0.547256;0.0170291;0.555845;0.0266244;2.41378;0.0112119;60
0.98;0.240954;0.0179205;0.242202;0.020185;0.60453;0.00280776;99
0.99;0.226658;0.0422051;0.211565;0.0192952;0.482534;0.00224115;148
1;0.93216;0.0276353;1.02637;0.0326633;6.70824;0.0311605;76
